booking_id,booking_datetime,checkin_date,lead_time_days,stay_nights,num_rooms,num_adults,num_children,customer_age,loyalty_points,avg_daily_rate,discount_pct,distance_to_airport_km,competitor_rate,marketing_score,seasonal_index,market_segment,channel,room_type,meal_plan,customer_tier,country_code,weekend_flag,target_class,target_value
197729,27:58.8,5/8/2024,37,4,1,1,1,27,219.7,104.24,0,7.96,107.17,0.11,1.0,Corporate,Direct,Standard,HB,Silver,DE,No,Cancelled,432.24
78611,16:05.7,3/5/2025,56,3,1,1,1,37,623.5,158.76,5,3.11,165.48,0.188,0.85,Business,Direct,Studio,FB,Silver,MX,No,Completed,389.87
57032,17:43.3,11/29/2025,357,5,1,1,0,30,3684.8,137.95,5,3.67,135.72,0.188,0.8,Corporate,OTA,Economy,FB,Bronze,US,Yes,NoShow,477.3
117658,15:58.5,7/13/2024,233,2,1,1,1,46,1980.2,186.04,10,11.34,176.95,0.315,1.35,Group,OTA,Studio,SC,Silver,PT,Yes,NoShow,469.56
179697,44:35.1,12/18/2024,323,3,1,2,2,27,659.5,185.88,5,7.12,198.81,0.394,0.75,Group,OTA,Presidential,BB,Bronze,US,No,NoShow,471.4
73911,22:28.3,11/30/2024,315,1,1,1,1,42,1716.6,143.83,15,9.05,141.0,0.414,0.8,Business,TravelAgent,Standard,FB,Bronze,CH,Yes,NoShow,89.18
191016,37:26.7,10/10/2024,246,3,1,2,0,42,2839.2,163.28,0,4.8,165.47,0.311,0.95,Leisure,OTA,Family,BB,Gold,TR,No,NoShow,433.17
1045,08:58.7,10/18/2025,336,5,2,3,0,58,1253.8,105.27,0,6.82,106.7975,0.245,0.95,Other,Direct,Family,BB,Bronze,SE,Yes,Cancelled,945.47
190182,21:08.9,6/14/2023,38,3,1,2,0,28,1775.3,178.55,15,11.33,170.17,0.534,1.2,Business,Direct,Suite,HB,Silver,SG,No,NoShow,520.81
16689,35:50.7,9/19/2025,214,7,1,2,0,52,501.3,131.69,5,6.26,138.03,0.31,1.05,Other,Direct,Family,HB,Bronze,CH,Yes,Cancelled,952.6
70540,53:10.9,7/25/2025,134,1,2,2,0,34,2149.0,107.56,10,5.93,109.88,0.61,1.35,Group,Corporate,Presidential,FB,Silver,BE,Yes,Cancelled,268.39
81198,53:59.3,11/1/2023,219,3,1,2,0,39,928.5,192.19,5,10.51,191.81,0.44,0.8,Group,OTA,Presidential,BB,Bronze,GB,No,Completed,476.45
59230,40:04.8,10/26/2023,13,3,1,2,1,44,1401.0,127.81,5,9.58,130.12,0.02,0.95,Leisure,Direct,Deluxe,SC,Bronze,BR,No,Cancelled,337.76
22135,51:50.0,5/29/2025,38,1,1,2,1,30,1972.3,158.59,15,5.26,181.17,0.378,1.0,Group,Corporate,Studio,BB,Silver,IT,No,Cancelled,145.42
47384,51:40.2,6/10/2023,122,3,1,2,3,42,1639.3,94.07,5,7.22,100.4,0.422,1.2,Business,OTA,Deluxe,BB,Gold,NZ,Yes,Completed,306.82
69400,52:37.1,5/9/2023,90,3,1,1,1,49,2722.6,120.81,20,4.38,133.89,0.483,1.0,Business,OTA,Suite,BB,Bronze,KR,No,NoShow,310.09
149914,07:55.9,6/23/2023,27,6,2,3,0,44,592.5,93.95,10,2.36,99.74,0.228,1.2,Group,Direct,Suite,BB,Bronze,IE,Yes,Cancelled,1256.98
143053,26:30.8,2/8/2025,332,3,1,1,0,38,1385.2,95.83,30,3.67,91.14,0.147,0.75,Corporate,Direct,Family,HB,Bronze,FI,Yes,Cancelled,153.3
87583,12:41.4,12/14/2025,343,2,1,1,0,38,6468.2,192.51,10,10.15,196.26,0.192,0.75,Business,Direct,Presidential,HB,Gold,ZA,Yes,Completed,247.9
102298,12:26.8,2/29/2024,346,3,2,2,1,37,595.4,125.77,15,9.2,131.59,0.183,0.75,Business,Direct,Studio,BB,Bronze,NL,No,NoShow,551.99
151495,18:08.1,2/14/2025,252,1,1,2,0,43,1793.2,171.42,10,12.47,166.77,0.189,0.75,Group,OTA,Family,BB,Bronze,BE,Yes,NoShow,118.54
163186,26:16.0,5/14/2023,24,2,1,1,1,40,1254.4,175.65,20,8.2,182.52,0.262,1.0,Corporate,OTA,Standard,BB,Bronze,SG,Yes,Cancelled,279.84
7868,17:38.0,9/22/2023,21,6,1,1,1,45,243.5,203.6,25,5.68,210.8115,0.249,1.05,Other,OTA,Family,SC,Bronze,NL,Yes,Cancelled,934.0
22744,34:28.4,2/26/2023,27,3,1,1,0,70,2386.1,130.22,5,3.65,141.47,0.535,0.75,Leisure,OTA,Family,BB,Silver,SA,Yes,Cancelled,275.71
141187,56:18.1,11/27/2024,166,2,1,1,1,18,977.5,166.03,15,8.85,170.92,0.159,0.8,Leisure,Direct,Deluxe,BB,Bronze,NL,No,Completed,201.94
43905,23:29.2,8/21/2024,279,6,1,2,1,53,341.5,139.69,15,4.28,138.92,0.068,1.3,Group,OTA,Studio,HB,Bronze,MX,No,NoShow,915.84
93490,52:02.4,12/4/2023,166,3,1,2,0,28,2189.1,164.92,0,11.78,184.41,0.694,0.75,Corporate,OTA,Executive,BB,Bronze,DK,No,NoShow,401.3
74686,39:27.5,1/30/2025,48,4,1,2,2,18,6451.4,112.29,10,35.13,112.54,0.082,0.7,Group,OTA,Suite,BB,Platinum,GB,No,Cancelled,330.25
97069,42:56.2,9/30/2023,196,5,1,2,1,49,3946.1,153.47,5,4.41,174.08,0.06,1.05,Group,Direct,Family,HB,Bronze,DE,Yes,Completed,729.57
98118,15:33.9,3/16/2024,82,3,1,1,2,48,2154.8,179.96,25,4.75,179.1,0.088,0.85,Corporate,OTA,Standard,BB,Bronze,AT,Yes,Cancelled,318.61
71494,49:32.2,4/13/2024,234,2,1,2,0,36,455.8,139.65,10,9.36,150.12,0.077,0.9,Business,OTA,Suite,BB,Bronze,FI,Yes,NoShow,214.35
20525,20:01.3,6/6/2025,151,2,1,2,0,51,1107.2,212.96,20,7.74,215.55,0.496,1.2,Group,TravelAgent,Suite,HB,Silver,GB,Yes,Completed,415.71
30922,48:09.0,3/4/2024,353,5,1,1,1,49,982.8,152.13,5,5.48,163.76,0.05,0.85,Business,Direct,Executive,HB,Bronze,DE,No,Cancelled,661.39
27543,23:46.8,1/23/2025,50,3,1,2,0,42,321.5,171.5,0,8.39,187.62,0.267,0.7,Corporate,OTA,Deluxe,BB,Gold,FR,No,NoShow,381.22
176608,09:57.4,3/8/2025,46,3,1,1,1,39,2662.8,121.73,5,6.62,120.6,0.283,0.85,Other,Direct,Deluxe,BB,Bronze,US,Yes,Cancelled,277.18
33904,17:54.4,3/27/2025,72,1,1,1,1,61,4606.4,129.27,0,8.66,132.62,0.059,0.85,Group,Direct,Standard,BB,Silver,CN,No,NoShow,113.94
11975,43:17.1,3/7/2025,219,2,1,2,2,54,1596.9,84.83,20,8.43,82.57,0.102,0.85,Group,OTA,Executive,HB,Bronze,PT,Yes,Completed,129.07
91608,47:05.0,6/24/2024,249,2,1,2,1,48,1985.2,133.67,20,12.54,143.98,0.226,1.2,Leisure,OTA,Deluxe,HB,Silver,DE,No,Completed,257.95
65844,51:03.2,1/22/2026,239,3,1,1,2,29,1454.6,186.48,5,4.25,195.03,0.401,0.7,Corporate,Direct,Deluxe,HB,Silver,SE,No,Cancelled,327.45
40957,08:37.8,4/30/2024,124,2,1,1,1,36,768.6,162.93,10,5.37,168.68,0.612,0.9,Corporate,OTA,Deluxe,HB,Gold,TR,No,NoShow,271.58
141810,08:55.2,7/9/2025,234,7,1,2,1,44,649.9,231.62,0,6.0,247.92,0.138,1.35,Business,Direct,Studio,BB,Bronze,CH,No,Cancelled,2143.98
99065,24:00.1,11/19/2025,226,2,1,2,0,41,3525.8,201.83,10,14.35,222.3,0.304,0.8,Group,Direct,Executive,BB,Silver,AT,No,Completed,302.42
87637,34:32.8,5/7/2025,357,11,1,1,1,61,665.2,161.37,30,14.82,165.73,0.543,1.0,Group,Direct,Deluxe,HB,Gold,AT,No,Completed,1363.21
8734,41:51.0,6/26/2025,17,3,1,1,1,49,814.7,85.7,25,5.94,92.71,0.38,1.2,Corporate,Direct,Studio,BB,Bronze,BE,No,Cancelled,224.63
162930,29:08.4,4/15/2024,161,2,3,4,1,52,411.0,91.41,0,4.74,95.7,0.589,0.9,Corporate,TravelAgent,Suite,HB,Bronze,PT,No,NoShow,495.34
20784,25:47.5,10/17/2025,334,3,1,2,0,38,95.4,123.21,5,8.73,123.18,0.237,0.95,Other,OTA,Family,HB,Bronze,IN,Yes,Cancelled,353.11
131857,28:21.1,11/7/2024,211,4,1,1,1,52,2121.9,130.36,15,3.95,132.8,0.296,0.8,Other,TravelAgent,Suite,BB,Silver,BR,No,NoShow,361.87
14752,10:25.6,1/22/2025,87,4,3,3,1,68,1088.3,125.74,5,2.55,120.16,0.298,0.7,Group,TravelAgent,Deluxe,BB,Bronze,CN,No,NoShow,1038.66
28607,42:30.1,5/5/2024,361,4,1,1,1,44,1906.7,127.58,25,4.52,125.45,0.562,1.0,Other,Direct,Executive,BB,Bronze,AU,Yes,Cancelled,418.7
25848,28:07.0,5/22/2024,158,4,1,2,1,18,1139.1,162.39,30,12.35,179.68,0.219,1.0,Business,OTA,Studio,FB,Silver,NL,No,NoShow,503.96
18899,21:22.3,8/9/2024,313,2,1,2,2,30,2952.3,176.0,5,5.52,170.3,0.223,1.3,Corporate,Direct,Presidential,SC,Bronze,TR,Yes,Completed,419.61
67036,45:54.2,6/21/2025,210,2,1,2,0,24,117.4,146.33,15,4.01,152.36,0.19,1.2,Business,Direct,Suite,HB,Bronze,IN,Yes,Completed,277.73
181308,28:33.2,9/29/2024,112,2,1,2,1,35,663.0,114.13,10,12.45,113.3,0.078,1.05,Business,OTA,Family,FB,Silver,GB,Yes,Cancelled,222.86
166365,04:48.6,10/25/2024,181,7,1,2,0,46,187.4,222.28,20,5.98,229.2,0.175,0.95,Business,OTA,Suite,BB,Bronze,DK,Yes,Cancelled,1185.85
147498,15:14.6,6/22/2023,60,3,1,1,0,52,196.0,98.78,0,9.1,100.24,0.096,1.2,Business,TravelAgent,Deluxe,BB,Bronze,ZA,No,NoShow,370.96
93355,18:02.4,9/27/2023,87,2,2,2,0,80,645.3,125.81,10,7.15,128.26,0.249,1.05,Corporate,OTA,Executive,BB,Gold,IN,No,Completed,464.81
74491,34:53.4,11/24/2024,232,2,3,3,0,53,255.1,164.3,30,16.1,151.25,0.772,0.8,Business,Direct,Standard,BB,Silver,BE,Yes,Cancelled,575.67
105417,33:28.0,9/28/2024,242,3,1,1,0,53,414.4,145.93,5,10.5,142.21,0.258,1.05,Group,Direct,Studio,HB,Bronze,ZA,Yes,Cancelled,429.44
188594,41:55.3,1/5/2025,9,3,1,2,1,35,494.2,104.61,10,8.07,111.43,0.083,0.7,Other,Corporate,Deluxe,BB,Bronze,SE,Yes,NoShow,199.67
46637,16:19.9,4/7/2024,113,4,1,2,0,29,1177.9,171.56,0,3.94,164.52,0.381,0.9,Leisure,Corporate,Standard,BB,Gold,IT,Yes,Completed,592.96
45898,22:09.1,6/10/2023,0,1,1,2,2,28,718.2,190.79,15,5.45,202.35,0.318,1.2,Other,OTA,Family,BB,Bronze,AU,Yes,Cancelled,198.37
127877,50:41.7,4/15/2025,276,4,1,2,1,32,759.4,129.36,15,7.35,128.94,0.067,0.9,Leisure,Direct,Studio,SC,Bronze,KR,No,Cancelled,400.03
24487,53:09.0,2/1/2024,2,2,2,2,1,49,314.5,153.38,10,3.42,160.75,0.23,0.75,Other,OTA,Economy,HB,Bronze,BE,No,Completed,392.09
132751,42:19.5,11/21/2024,197,2,1,1,1,34,1140.3,229.29,25,6.89,233.39,0.012,0.8,Leisure,Direct,Suite,BB,Gold,SG,No,Completed,302.3
126766,13:32.1,4/8/2023,84,4,1,1,0,46,563.1,118.01,5,6.56,117.63,0.122,0.9,Business,Direct,Studio,BB,Bronze,NZ,Yes,Cancelled,408.18
140065,54:16.8,1/24/2024,364,2,1,1,2,36,3662.4,139.17,0,13.46,151.0,0.376,0.7,Other,Direct,Standard,HB,Bronze,NL,No,Completed,200.51
60692,06:52.4,11/30/2025,218,2,1,2,1,54,857.4,148.48,10,7.93,150.45,0.542,0.8,Group,TravelAgent,Executive,SC,Bronze,AT,Yes,Completed,220.69
187853,04:05.2,11/30/2025,227,6,1,1,1,54,197.9,122.38,0,6.48,140.83,0.248,0.8,Group,OTA,Deluxe,BB,Bronze,FR,Yes,NoShow,632.19
69342,59:53.2,7/14/2025,188,2,1,2,0,57,505.4,135.65,0,5.68,144.27,0.486,1.35,Leisure,Direct,Executive,BB,Silver,DE,No,Completed,346.32
159840,57:58.4,2/17/2025,114,1,2,3,2,24,303.3,131.32,0,6.49,132.67,0.233,0.75,Corporate,TravelAgent,Studio,BB,Bronze,KR,No,NoShow,181.12
142712,44:18.9,8/28/2024,192,3,1,2,0,46,17068.4,147.61,5,3.26,152.88,0.385,1.3,Group,OTA,Studio,BB,Silver,SE,No,Cancelled,509.91
197332,47:54.6,9/4/2025,201,3,2,2,1,68,1285.9,90.11,0,10.05,90.76,0.238,1.05,Business,OTA,Deluxe,HB,Bronze,NO,No,Cancelled,572.28
18354,11:31.3,3/1/2026,346,1,1,1,2,61,1947.1,136.32,10,7.24,134.72,0.396,0.85,Business,OTA,Deluxe,BB,Silver,BE,Yes,Cancelled,108.96
132967,18:13.9,10/22/2023,20,3,2,2,1,66,685.2,145.32,10,3.59,147.19,0.304,0.95,Corporate,OTA,Presidential,BB,Silver,US,Yes,Cancelled,698.75
89003,53:38.9,9/26/2024,157,5,1,2,0,56,375.6,125.68,20,2.39,116.15,0.411,1.05,Other,OTA,Standard,HB,Gold,CA,No,Completed,550.13
22360,56:25.2,11/11/2024,183,1,2,3,0,43,772.6,95.31,25,8.36,88.35,0.323,0.8,Corporate,Direct,Studio,FB,Silver,SG,No,Cancelled,113.55
5638,09:33.4,9/29/2025,118,4,2,2,1,46,1119.2,98.29,5,6.63,107.23,0.43,1.05,Leisure,Direct,Executive,BB,Silver,TR,No,Completed,812.93
1969,55:33.5,8/19/2025,328,5,2,2,1,42,1090.8,93.11,5,4.36,92.72,0.013,1.3,Leisure,OTA,Executive,SC,Silver,FR,No,Cancelled,1191.1
165411,13:19.8,7/10/2024,0,3,2,3,0,42,3323.7,174.71,10,3.04,181.57,0.079,1.35,Business,Direct,Suite,BB,Platinum,AE,No,Cancelled,1140.16
104872,38:55.6,4/24/2025,213,2,1,1,0,32,179.9,198.55,5,12.18,192.81,0.139,0.9,Group,OTA,Executive,HB,Bronze,BE,No,Cancelled,331.4
196199,42:08.9,3/2/2025,279,1,2,2,0,18,2464.0,148.8,20,6.28,164.03,0.032,0.85,Corporate,TravelAgent,Standard,SC,Bronze,NZ,Yes,NoShow,184.87
19871,53:00.4,3/31/2025,1,4,1,2,0,22,3188.3,101.58,10,6.8,104.07,0.071,0.85,Business,Direct,Suite,BB,Bronze,CA,No,NoShow,328.3
138979,55:44.3,8/21/2025,278,2,2,3,0,32,390.8,86.93,0,6.62,85.11,0.637,1.3,Corporate,OTA,Presidential,FB,Bronze,DE,No,Cancelled,405.64
188706,53:35.0,7/30/2025,327,2,2,3,1,45,213.0,143.35,5,7.52,147.68,0.265,1.35,Leisure,Direct,Family,BB,Gold,TR,No,NoShow,743.04
32044,31:47.5,8/7/2025,277,8,1,1,0,55,1821.0,191.31,5,10.03,193.07,0.365,1.3,Group,Corporate,Studio,HB,Silver,CH,No,NoShow,2004.05
67388,43:56.2,10/14/2025,300,1,3,3,0,18,286.8,138.49,5,6.21,142.42,0.032,0.95,Leisure,Direct,Deluxe,HB,Silver,SE,No,Completed,371.38
71033,38:39.5,11/30/2023,149,4,1,1,1,44,4730.6,157.71,5,5.14,158.49,0.493,0.8,Leisure,TravelAgent,Executive,BB,Gold,PT,No,Completed,491.18
58663,49:33.2,6/24/2024,210,2,1,1,1,37,8250.3,126.23,15,5.91,133.84,0.195,1.2,Group,Direct,Family,BB,Bronze,KR,No,Completed,264.9
129009,14:49.4,4/19/2025,275,3,1,2,0,62,652.4,121.58,0,6.78,120.0,0.112,0.9,Group,OTA,Presidential,HB,Bronze,KR,Yes,Completed,346.94
151036,26:29.7,9/7/2024,319,8,1,2,1,43,2264.4,72.34,10,10.94,74.91,0.088,1.05,Business,OTA,Deluxe,BB,Gold,CH,Yes,Cancelled,549.41
4645,03:06.5,5/6/2025,183,2,2,2,1,63,1028.4,212.13,15,5.97,222.41,0.209,1.0,Other,Direct,Executive,BB,Bronze,IE,No,Cancelled,714.88
4420,48:34.6,5/12/2024,328,4,1,2,0,54,1171.9,64.84,0,7.59,66.51,0.187,1.0,Corporate,Direct,Family,HB,Platinum,FI,Yes,NoShow,266.94
49842,40:50.4,5/5/2023,11,3,2,2,0,60,1396.7,167.67,10,7.08,167.23,0.265,1.0,Business,OTA,Family,BB,Bronze,BE,Yes,Cancelled,828.39
134829,54:15.9,6/4/2024,76,1,2,3,0,18,876.6,225.37,10,12.26,216.94,0.204,1.2,Other,OTA,Suite,BB,Gold,FR,No,Cancelled,464.29
57889,17:51.6,4/21/2025,212,1,1,1,0,44,788.1,120.8,0,11.91,124.11,0.165,0.9,Corporate,OTA,Deluxe,SC,Silver,BR,No,Cancelled,112.11
52094,06:05.1,6/14/2023,32,6,1,2,2,54,258.5,137.74,10,11.54,133.61,0.259,1.2,Leisure,Direct,Presidential,BB,Bronze,JP,No,Cancelled,906.41
115537,43:49.3,3/22/2025,252,3,1,1,1,19,1706.5,219.78,5,9.47,222.66,0.188,0.85,Leisure,OTA,Standard,FB,Bronze,DE,Yes,Cancelled,502.52
57218,19:46.3,10/16/2024,138,4,2,3,0,18,1090.8,198.32,20,5.78,201.05,0.313,0.95,Corporate,OTA,Executive,BB,Bronze,IN,No,Cancelled,1159.56
41622,34:48.9,11/22/2023,52,2,3,3,1,35,463.7,186.04,0,6.27,196.14,0.348,0.8,Business,TravelAgent,Family,HB,Bronze,BE,No,Cancelled,890.88
125672,47:05.7,1/14/2025,353,2,1,1,0,49,286.8,134.96,10,3.45,142.18,0.104,0.7,Corporate,Direct,Presidential,HB,Gold,TR,No,NoShow,176.31
134030,30:50.8,8/4/2025,106,4,1,2,1,29,210.7,149.23,10,6.61,143.8,0.265,1.3,Corporate,TravelAgent,Executive,BB,Bronze,ES,No,Cancelled,725.63
144077,28:55.0,5/13/2024,250,1,2,3,0,18,749.9,178.23,5,8.53,193.84,0.138,1.0,Corporate,OTA,Presidential,BB,Bronze,AU,No,Cancelled,351.06
72782,00:36.1,9/15/2025,161,5,1,2,0,42,1090.8,168.17,5,8.17,160.83,0.409,1.05,Group,OTA,Suite,HB,Silver,NZ,No,Cancelled,847.25
152344,43:37.9,4/15/2023,97,5,2,3,0,35,2972.1,137.52,25,5.86,140.66,0.397,0.9,Other,OTA,Economy,BB,Bronze,NZ,Yes,NoShow,909.06
184552,10:17.1,4/15/2023,40,3,2,2,1,32,2258.1,128.26,0,12.4,135.61,0.304,0.9,Corporate,OTA,Family,HB,Bronze,SG,Yes,NoShow,682.5
79244,38:46.4,1/24/2025,187,5,1,1,0,56,1301.9,141.47,15,6.84,148.13,0.378,0.7,Corporate,Direct,Executive,BB,Silver,NZ,Yes,NoShow,363.16
179621,25:57.5,1/18/2026,351,2,1,1,1,52,2458.5,78.59,15,9.38,81.71,0.208,0.7,Other,Direct,Presidential,BB,Gold,AE,Yes,Cancelled,91.41
93899,55:05.8,11/5/2023,26,3,1,2,0,55,921.0,159.75,5,17.76,171.66,0.422,0.8,Other,Corporate,Standard,BB,Silver,NZ,Yes,Completed,361.86
43870,13:43.6,2/2/2024,94,3,1,1,1,28,1135.7,123.64,5,13.45,131.78,0.104,0.75,Corporate,OTA,Studio,BB,Bronze,DE,Yes,Completed,272.9
149467,28:17.4,6/8/2025,131,1,3,3,0,41,668.1,148.59,10,8.03,169.39,0.543,1.2,Business,Direct,Economy,BB,Bronze,AT,Yes,Cancelled,507.06
16527,34:44.7,12/9/2024,101,2,1,1,0,56,1568.6,180.7,5,10.63,191.23,0.242,0.75,Business,OTA,Deluxe,BB,Silver,PT,No,Completed,263.65
158839,45:26.0,1/28/2024,238,2,1,2,0,57,1320.7,212.53,10,8.46,197.48,0.409,0.7,Other,Direct,Executive,BB,Silver,DK,Yes,Completed,274.6
112030,07:51.9,3/12/2025,110,4,1,1,1,51,3382.5,139.61,30,10.2,148.87,0.134,0.85,Leisure,OTA,Executive,SC,Bronze,BR,No,Cancelled,319.97
54274,18:37.7,12/22/2024,46,1,1,2,1,47,362.7,161.36,5,9.66,161.99,0.224,0.75,Group,TravelAgent,Deluxe,BB,Silver,PT,Yes,NoShow,117.72
40579,06:59.6,4/13/2025,130,3,2,3,1,18,7543.7,195.13,0,5.88,200.96,0.287,0.9,Group,TravelAgent,Family,HB,Bronze,BE,Yes,NoShow,1009.43
165418,17:56.5,1/30/2025,80,3,1,2,1,33,2915.2,155.33,5,12.64,162.35,0.616,0.7,Other,Direct,Suite,HB,Bronze,IE,No,NoShow,333.07
12513,30:18.1,10/15/2023,215,3,1,2,0,52,1035.9,146.23,20,11.99,144.06,0.633,0.95,Group,Direct,Presidential,BB,Bronze,NZ,Yes,Cancelled,300.51
43265,05:35.5,6/12/2025,236,4,1,1,0,42,1876.8,183.02,10,12.35,169.48,0.082,1.2,Other,TravelAgent,Economy,BB,Silver,NZ,No,NoShow,836.07
105666,03:39.7,3/18/2025,73,3,1,1,1,35,785.1,191.38,5,3.75,187.24,0.175,0.85,Group,Direct,Family,BB,Bronze,AU,No,NoShow,474.8
109360,21:34.6,3/28/2024,263,4,2,3,0,58,323.1,156.66,0,18.24,156.02,0.227,0.85,Business,TravelAgent,Executive,HB,Bronze,AT,No,NoShow,983.33
110181,06:36.6,7/5/2023,108,2,1,2,0,37,313.7,131.53,0,8.68,136.56,0.184,1.35,Corporate,OTA,Suite,HB,Silver,JP,No,Cancelled,330.29
121556,21:00.0,8/12/2023,192,2,1,2,0,41,528.3,158.71,10,7.91,149.36,0.388,1.3,Other,Direct,Executive,BB,Bronze,IT,Yes,NoShow,375.62
189944,30:45.5,1/17/2024,207,4,1,1,0,34,350.7,167.72,15,3.97,176.76,0.3,0.7,Other,OTA,Family,BB,Silver,CN,No,Cancelled,386.71
87690,12:14.8,11/16/2023,61,1,1,1,1,42,5212.0,160.47,20,8.26,179.33,0.642,0.8,Business,TravelAgent,Economy,BB,Bronze,KR,No,Cancelled,104.66
160754,01:18.4,7/23/2024,201,6,2,3,0,42,6257.5,170.92,20,13.61,165.95,0.368,1.35,Group,OTA,Family,SC,Bronze,GB,No,Cancelled,2223.13
45876,40:42.8,8/13/2025,218,3,1,2,3,45,272.0,104.71,15,12.29,105.92,0.111,1.3,Corporate,TravelAgent,Economy,BB,Gold,GB,No,NoShow,364.97
6611,28:17.5,7/14/2023,79,4,1,1,1,33,6201.9,179.43,30,3.59,190.64,0.397,1.35,Leisure,Direct,Standard,SC,Bronze,SA,Yes,Cancelled,680.77
168462,08:59.9,10/11/2025,250,5,1,2,1,27,449.0,172.49,20,12.5,158.5,0.292,0.95,Corporate,Direct,Suite,BB,Bronze,AT,Yes,NoShow,631.49
127650,54:39.9,10/4/2024,93,1,1,2,1,25,1261.1,114.97,5,6.17,125.43,0.337,0.95,Group,OTA,Studio,BB,Silver,ES,Yes,Cancelled,102.33
101546,47:14.9,5/10/2025,256,4,2,3,1,26,2957.9,139.56,0,19.24,142.56,0.371,1.0,Business,TravelAgent,Suite,BB,Bronze,FR,Yes,NoShow,1041.13
24137,27:10.2,12/24/2025,338,2,2,2,0,39,726.4,150.08,25,13.1,149.13,0.285,0.75,Other,OTA,Executive,SC,Silver,DE,No,NoShow,321.93
146232,58:10.2,8/2/2025,358,1,1,2,0,28,750.0,155.54,5,10.44,152.62,0.185,1.3,Group,Direct,Standard,BB,Silver,FI,Yes,Completed,201.75
167934,22:06.8,11/4/2024,127,1,1,2,0,36,2969.3,86.38,0,4.82,78.64,0.066,0.8,Corporate,Direct,Family,SC,Silver,JP,No,Cancelled,66.32
35549,42:38.7,4/12/2024,315,2,1,1,2,23,1557.0,92.28,10,6.86,98.85,0.519,0.9,Corporate,Direct,Economy,BB,Bronze,PT,Yes,Completed,151.71
35528,17:25.6,12/6/2024,131,1,1,2,1,56,271.3,136.51,15,8.15,141.65,0.402,0.75,Group,OTA,Family,BB,Bronze,FR,Yes,Cancelled,92.16
84822,20:39.7,3/29/2023,41,1,1,1,0,40,9080.0,177.35,10,12.31,181.22,0.308,0.85,Leisure,TravelAgent,Deluxe,SC,Bronze,NO,No,Cancelled,132.02
76091,28:15.2,4/9/2024,28,2,1,1,2,39,4191.6,135.08,5,7.03,133.52,0.395,0.9,Leisure,OTA,Presidential,BB,Platinum,SG,No,Cancelled,222.15
160158,06:19.1,9/12/2024,115,1,1,1,1,52,2137.1,170.78,0,10.98,174.41,0.318,1.05,Corporate,TravelAgent,Studio,BB,Silver,PT,No,Cancelled,180.58
151857,26:17.0,3/27/2025,86,1,1,1,0,43,1590.4,142.1,25,6.63,145.15,0.096,0.85,Corporate,OTA,Family,BB,Silver,BR,No,Cancelled,96.82
150762,22:22.4,8/1/2025,157,3,1,1,1,34,452.7,174.0,10,9.96,161.3,0.216,1.3,Group,Corporate,Economy,FB,Bronze,ZA,Yes,NoShow,629.79
47494,52:48.9,10/24/2024,136,2,1,2,1,34,1032.8,135.44,15,6.11,133.64,0.125,0.95,Group,TravelAgent,Family,FB,Bronze,DE,No,Cancelled,230.86
180911,31:32.9,11/9/2024,34,3,3,4,1,46,2399.5,145.0,5,14.83,141.47,0.107,0.8,Group,OTA,Deluxe,HB,Bronze,AE,Yes,NoShow,1088.78
